accepted_date,year,period,before_publication_close_price,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,pe,eps,ebitda_margin,ev_ebitda,netincome_ratio,debt_to_equity,current_ratio,quick_ratio,roe,roa,free_cash_flow_yield,positive_score,neutral_score,negative_score
2016-04-28,2016,Q1,30.100000,32.979500,34.192501,33.987499,34.872501,29128000000,18866000000,1071000000,513000000,30513000000,30615000000,28187000000,30615000000,14756000000,-2160000000,-1179000000,552.2936,0.0545,0.0940,113.0111,0.0176,0.5570,1.0825,0.7426,0.0348,0.0084,-0.0116,11,59,28
2016-07-28,2016,Q2,37.630501,37.940498,38.387001,38.327999,38.231499,30404000000,19180000000,1285000000,857000000,32220000000,32856000000,29587000000,32856000000,16538000000,3465000000,-1711000000,415.3477,0.0906,0.0998,126.2640,0.0282,0.4966,1.0890,0.7649,0.0518,0.0132,0.0048,11,61,26
2016-10-27,2016,Q3,40.917999,38.816002,39.491001,39.246498,37.324501,32714000000,21260000000,575000000,252000000,35609000000,35288000000,33498000000,35288000000,17782000000,4486000000,-1841000000,1538.2706,0.0266,0.0764,167.4473,0.0077,0.4614,1.0630,0.7437,0.0142,0.0036,0.0067,11,62,25
2017-02-09,2016,Q4,41.068001,41.373001,41.826500,42.821999,42.445499,43741000000,28959000000,1255000000,749000000,45781000000,37621000000,43816000000,37621000000,19285000000,10651000000,-2005000000,521.8297,0.0787,0.0777,127.6497,0.0171,0.7889,1.0448,0.7833,0.0388,0.0090,0.0217,7,72,19
2017-04-27,2017,Q1,45.918999,46.249500,47.411499,47.452000,47.237999,35714000000,22440000000,1005000000,724000000,39460000000,41509000000,37399000000,41509000000,21674000000,-1590000000,-1861000000,604.9934,0.0759,0.0921,143.5844,0.0203,0.3548,1.0551,0.7717,0.0334,0.0089,-0.0077,12,60,27
2017-07-27,2017,Q2,52.299999,51.001999,49.389000,49.613499,48.909000,37955000000,23451000000,628000000,197000000,41007000000,46774000000,40520000000,46774000000,23214000000,3829000000,-2501000000,2538.8349,0.0206,0.0821,172.0286,0.0052,0.3310,1.0120,0.7280,0.0085,0.0022,0.0026,12,61,26
2017-10-26,2017,Q3,48.621498,55.047501,55.542500,56.033001,56.334499,43744000000,27549000000,347000000,256000000,48578000000,66689000000,47072000000,66689000000,24658000000,3851000000,-2659000000,1827.8759,0.0266,0.0716,164.8712,0.0059,1.0021,1.0320,0.7407,0.0104,0.0022,0.0025,12,62,24
2018-02-01,2017,Q4,69.500000,71.497498,69.500000,69.311501,74.266998,60453000000,38495000000,2127000000,1857000000,60197000000,71113000000,57883000000,71113000000,27709000000,12344000000,-3619000000,365.7895,0.19,0.1001,123.6959,0.0307,1.3687,1.0400,0.7627,0.0670,0.0141,0.0126,8,74,16
2018-04-26,2018,Q1,75.898003,78.630997,78.306503,80.007004,79.363998,51042000000,30735000000,1927000000,1629000000,50829000000,75533000000,48045000000,75533000000,31463000000,-1791000000,-3098000000,446.4588,0.17,0.1097,142.4635,0.0319,0.7831,1.0579,0.7699,0.0518,0.0129,-0.0065,12,63,24
2018-07-26,2018,Q2,90.400002,90.863503,88.960999,92.387497,94.130997,52886000000,30632000000,2983000000,2534000000,54481000000,79619000000,50801000000,79619000000,34995000000,7449000000,-3243000000,347.6923,0.26,0.1250,143.3698,0.0479,0.7040,1.0724,0.7806,0.0724,0.0189,0.0047,12,63,23
2018-10-25,2018,Q3,89.108498,82.140503,76.944000,81.389999,79.950500,56576000000,33003000000,3724000000,2883000000,59885000000,83810000000,55324000000,83810000000,39125000000,8588000000,-3352000000,297.0283,0.3,0.1326,125.1231,0.0510,0.6309,1.0824,0.7957,0.0737,0.0201,0.0059,12,64,22
2019-01-31,2018,Q4,85.936501,81.311501,81.665497,79.550003,80.972000,72383000000,44786000000,3786000000,3027000000,75101000000,87547000000,68391000000,87547000000,43549000000,16478000000,-3733000000,277.2145,0.31,0.1112,116.1304,0.0418,0.9136,1.0981,0.8470,0.0695,0.0186,0.0148,8,73,18
2019-04-25,2019,Q1,95.112503,97.531502,96.921501,97.527496,93.557503,59700000000,33920000000,4420000000,3561000000,69431000000,108671000000,63695000000,108671000000,48410000000,1846000000,-3290000000,264.2014,0.36,0.1553,111.6163,0.0596,1.1691,1.0901,0.8321,0.0736,0.0200,-0.0015,10,64,25
2019-07-25,2019,Q2,98.691002,97.152496,95.622498,88.256500,88.148003,63404000000,36337000000,3084000000,2625000000,76790000000,114561000000,69678000000,114561000000,53061000000,9118000000,-3562000000,365.5222,0.27,0.1307,129.5753,0.0414,1.1018,1.1021,0.8354,0.0495,0.0137,0.0056,10,64,25
2019-10-24,2019,Q3,89.039001,88.066498,88.853996,90.233002,87.655502,69981000000,41302000000,3020000000,2134000000,79054000000,120045000000,72136000000,120045000000,56508000000,7892000000,-4697000000,404.7227,0.22,0.1226,114.3159,0.0305,1.0535,1.0959,0.8358,0.0378,0.0107,0.0036,10,64,24
2020-01-30,2019,Q4,93.533997,100.435997,100.209999,106.695503,107.654999,87436000000,53977000000,3879000000,3268000000,96334000000,128914000000,87812000000,128914000000,62060000000,19659000000,-5312000000,283.4364,0.33,0.1149,103.4761,0.0374,1.0184,1.0970,0.8636,0.0527,0.0145,0.0153,7,75,16
2020-04-30,2020,Q1,123.699997,114.302002,115.799500,120.449997,124.897003,75452000000,44257000000,3989000000,2535000000,85985000000,135253000000,79711000000,135253000000,65272000000,3064000000,-6795000000,494.8000,0.25,0.1239,143.5945,0.0336,0.9765,1.0787,0.8421,0.0388,0.0115,-0.0030,11,60,27
2020-07-30,2020,Q2,152.593994,158.233994,155.594498,157.408005,163.024002,88912000000,52660000000,5843000000,5243000000,110908000000,147406000000,93896000000,147406000000,73728000000,20606000000,-7459000000,293.4500,0.52,0.1304,143.8088,0.0590,1.0298,1.1812,0.9724,0.0711,0.0203,0.0085,12,60,26
2020-10-29,2020,Q3,160.550507,151.807495,150.223999,157.186996,155.272995,96145000000,57106000000,6194000000,6331000000,112969000000,169210000000,101912000000,169210000000,82775000000,11964000000,-11063000000,254.8421,0.63,0.1323,137.9926,0.0658,0.9848,1.1085,0.8756,0.0765,0.0224,0.0005,12,61,25
2021-02-02,2020,Q4,169.000000,165.626495,166.550003,163.106506,159.725006,125555000000,79284000000,6873000000,7222000000,132733000000,188462000000,126385000000,188462000000,93404000000,30430000000,-14824000000,234.7222,0.72,0.1154,128.3565,0.0575,0.9035,1.0502,0.8620,0.0773,0.0225,0.0090,8,77,14
